filename,labels
0050_10CC___I_M_NOT_IN_LOVE-1.txt,"['gac', 'org']"
0050_10CC___I_M_NOT_IN_LOVE-11.txt,['voi']
0050_10CC___I_M_NOT_IN_LOVE-13.txt,"['gac', 'org', 'voi']"
0050_10CC___I_M_NOT_IN_LOVE-15.txt,"['gac', 'org', 'pia', 'voi']"
0050_10CC___I_M_NOT_IN_LOVE-17.txt,"['gac', 'org', 'voi']"
0050_10CC___I_M_NOT_IN_LOVE-19.txt,"['gac', 'org']"
0050_10CC___I_M_NOT_IN_LOVE-20.txt,"['gac', 'org']"
0050_10CC___I_M_NOT_IN_LOVE-21.txt,"['gac', 'org']"
0050_10CC___I_M_NOT_IN_LOVE-23.txt,"['gac', 'org']"
0050_10CC___I_M_NOT_IN_LOVE-3.txt,"['gac', 'org', 'voi']"
0050_10CC___I_M_NOT_IN_LOVE-4.txt,"['gac', 'org', 'voi']"
0050_10CC___I_M_NOT_IN_LOVE-5.txt,"['gac', 'org', 'voi']"
0050_10CC___I_M_NOT_IN_LOVE-6.txt,"['gac', 'org', 'voi']"
0050_10CC___I_M_NOT_IN_LOVE-8.txt,['pia']
0050_10CC___I_M_NOT_IN_LOVE-9.txt,['pia']
032  Fats Navarro - Boperation-1.txt,['pia']
032  Fats Navarro - Boperation-10.txt,"['pia', 'sax']"
032  Fats Navarro - Boperation-11.txt,"['pia', 'tru']"
032  Fats Navarro - Boperation-12.txt,"['pia', 'sax']"
032  Fats Navarro - Boperation-13.txt,"['pia', 'tru']"
032  Fats Navarro - Boperation-14.txt,"['pia', 'sax']"
032  Fats Navarro - Boperation-15.txt,['pia']
032  Fats Navarro - Boperation-16.txt,['pia']
032  Fats Navarro - Boperation-2.txt,['pia']
032  Fats Navarro - Boperation-4.txt,"['pia', 'tru']"
032  Fats Navarro - Boperation-6.txt,"['pia', 'sax']"
032  Fats Navarro - Boperation-8.txt,['pia']
101-eric_clapton-i_feel_free-1.txt,['voi']
101-eric_clapton-i_feel_free-10.txt,"['pia', 'voi']"
101-eric_clapton-i_feel_free-3.txt,"['gel', 'voi']"
101-eric_clapton-i_feel_free-5.txt,"['pia', 'voi']"
101-eric_clapton-i_feel_free-6.txt,"['gel', 'voi']"
101-eric_clapton-i_feel_free-8.txt,"['gel', 'pia', 'voi']"
101-eric_clapton-i_feel_free-9.txt,"['pia', 'voi']"
102 - killing joke - love like blood-1.txt,['org']
102 - killing joke - love like blood-10.txt,"['gel', 'org', 'voi']"
102 - killing joke - love like blood-12.txt,"['gel', 'org']"
